date,acwi
1987-12,10000
1988-01,10412.14672663668
1988-02,11284.430349220793
1988-03,11160.568772504088
1988-04,11033.364029389839
1988-05,10868.325092270661
1988-06,11426.294642053128
1988-07,12129.971028092194
1988-08,11524.40445623342
1988-09,12111.564655581946
1988-10,12500.060455486542
1988-11,12423.705302737073
1988-12,12419.473151495233
1989-01,13247.329401815412
1989-02,13321.536580358157
1989-03,13557.498307458853
1989-04,14001.69623706491
1989-05,14259.18959955847
1989-06,14764.763219575014
1989-07,15687.90686009343
1989-08,15627.5415313225
1989-09,16338.404937957363
1989-10,15654.477308806852
1989-11,16423.61480351011
1989-12,16709.493015972435
1990-01,15414.108139534883
1990-02,14376.151406167088
1990-03,14083.27977839335
1990-04,13798.660151478132
1990-05,14875.163085727912
1990-06,14491.0720224522
1990-07,13833.419913802629
1990-08,11929.858854467993
1990-09,10807.863530914123
1990-10,11400.861019736842
1990-11,11103.61478464515
1990-12,11592.835423279046
1991-01,11942.689796340326
1991-02,12869.571284557811
1991-03,13490.58789941803
1991-04,14161.728844944846
1991-05,14718.349599721543
1991-06,14441.722204037096
1991-07,15115.038091200871
1991-08,14790.790570631198
1991-09,14795.007888792352
1991-10,15082.213684638149
1991-11,13974.96695886716
1991-12,14621.692381786339
1992-01,14548.007960199
1992-02,14579.685723928447
1992-03,14367.081656804728
1992-04,14287.877399521802
1992-05,14401.787366675873
1992-06,13546.882087219015
1992-07,13146.532450331122
1992-08,13263.55220747144
1992-09,13840.643639317625
1992-10,15083.589231048458
1992-11,16601.139219282155
1992-12,16496.69570599613
1993-01,16754.9106949429
1993-02,18256.874192427927
1993-03,19012.788834918243
1993-04,18808.332491745965
1993-05,19212.857375460364
1993-06,19588.11892321973
1993-07,20164.125015045134
1993-08,21178.347646506634
1993-09,20367.108604407134
1993-10,21284.344485122805
1993-11,20470.876823338735
1993-12,21426.13397706698
1994-01,22831.75243583729
1994-02,22701.006165494862
1994-03,21496.45976271868
1994-04,22224.05925925926
1994-05,22029.61148783406
1994-06,21606.609356571873
1994-07,21792.12599728454
1994-08,22634.21636623006
1994-09,21765.417482919354
1994-10,21763.220916334656
1994-11,21043.398137427634
1994-12,21530.02230063514
1995-01,20878.935501079635
1995-02,21136.832977099228
1995-03,21715.428571428565
1995-04,22405.843638399798
1995-05,22937.188862290535
1995-06,22835.804063205414
1995-07,23934.672216649946
1995-08,23834.97870819505
1995-09,24613.254958306603
1995-10,23911.97434564928
1995-11,24907.2611328
1995-12,26023.687478091528
1996-01,26805.772370486655
1996-02,26791.205625
1996-03,27362.18201820444
1996-04,28235.538047493403
